controller,seed,manifest_id,scenario_id,scenario_type,scenario_category,primary_actor_id,actor_ids,mixed,route_position_m,encountered,evaluable,encountered_at_s,resolved_at_s,time_to_resolve_s,completed,success,collision,deadlock_duration_s,overtake_attempted,overtake_successful,minimum_ttc_s,minimum_clearance_m
Hybrid ML Controller,2026024,eccd46ee998c0eea,seed-2026024-scenario-00049,slow_car,slow_car,sim-001eea28-slow-car-00049,sim-001eea28-slow-car-00049,False,4385.926083924283,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00000,stopped_car,mixed,sim-001eea29-stopped-car-00000,sim-001eea29-stopped-car-00000|sim-001eea29-left-traffic-00000,True,63.54268546413458,True,True,0.05,8.899999999999991,8.84999999999999,True,True,False,0.0,True,True,3.829268546413468,3.2159557145702697
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00001,truck,truck,sim-001eea29-truck-00001,sim-001eea29-truck-00001,False,164.42935953949683,True,True,12.200000000000038,21.900000000000176,9.700000000000138,True,True,False,0.0,True,True,3.543979550643118,3.004680759630172
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00002,slow_car,mixed,sim-001eea29-slow-car-00002,sim-001eea29-slow-car-00002|sim-001eea29-left-traffic-00002,True,239.51222604702303,True,True,17.050000000000107,48.74999999999937,31.69999999999926,True,False,True,0.35,True,False,1.6892792312186362,1.2000000000000117
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00003,pedestrian,pedestrian,sim-001eea29-pedestrian-00003,sim-001eea29-pedestrian-00003,False,342.2552175396215,True,True,22.700000000000188,44.84999999999959,22.1499999999994,True,True,False,0.1,False,False,18.176899156775313,0.42500000000000027
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00005,pedestrian,pedestrian,sim-001eea29-pedestrian-00005,sim-001eea29-pedestrian-00005,False,539.35606267816,True,True,53.24999999999911,70.54999999999814,17.299999999999024,True,True,False,0.1,False,False,3.9583959492302707,5.330971088306455
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00006,pedestrian,pedestrian,sim-001eea29-pedestrian-00006,sim-001eea29-pedestrian-00006,False,625.0956193329318,True,True,70.04999999999816,90.19999999999702,20.149999999998855,True,True,False,0.1,False,False,,5.424857060846648
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00007,truck,mixed,sim-001eea29-truck-00007,sim-001eea29-truck-00007|sim-001eea29-left-traffic-00007,True,702.2980479561065,True,True,105.49999999999615,129.59999999999522,24.09999999999907,True,True,False,0.0,True,True,4.578427008082267,3.158439909531579
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00008,stopped_car,mixed,sim-001eea29-stopped-car-00008,sim-001eea29-stopped-car-00008|sim-001eea29-left-traffic-00008,True,797.0864774313254,True,True,96.44999999999666,102.69999999999631,6.249999999999645,True,True,False,0.0,True,True,1.9025694359160372,2.552199377327194
Rule Controller,2026025,445a2d0c7684d486,seed-2026025-scenario-00009,stopped_car,mixed,sim-001eea29-stopped-car-00009,sim-001eea29-stopped-car-00009|sim-001eea29-left-traffic-00009,True,889.7372108551106,True,True,103.09999999999629,115.1999999999956,12.099999999999312,True,False,True,2.849999999999998,True,True,0.5802377265059234,1.1439181545668498
