controller,seed,manifest_id,scenario_id,scenario_type,scenario_category,primary_actor_id,actor_ids,mixed,route_position_m,encountered,evaluable,encountered_at_s,resolved_at_s,time_to_resolve_s,completed,success,collision,deadlock_duration_s,overtake_attempted,overtake_successful,minimum_ttc_s,minimum_clearance_m
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00002,slow_car,mixed,sim-001eea12-slow-car-00002,sim-001eea12-slow-car-00002|sim-001eea12-left-traffic-00002,True,231.6496326229734,True,True,28.60000000000027,37.65,9.049999999999727,True,True,False,0.0,True,True,2.1181447861002725,2.6273301300851113
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00004,truck,truck,sim-001eea12-truck-00004,sim-001eea12-truck-00004,False,419.5879821790436,True,True,43.24999999999968,,,False,False,False,0.3,True,False,2.752099587122349,7.108214271208863
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00005,stopped_car,stopped_car,sim-001eea12-stopped-car-00005,sim-001eea12-stopped-car-00005,False,519.7076642895761,True,True,47.69999999999943,68.79999999999824,21.099999999998808,True,True,False,1.6000000000000008,True,True,3.6088870192573386,3.1303202653305107
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00007,pedestrian,pedestrian,sim-001eea12-pedestrian-00007,sim-001eea12-pedestrian-00007,False,691.4927246103077,True,True,75.24999999999787,94.74999999999676,19.49999999999889,True,True,False,0.1,False,False,4.927544656539088,1.6818449157682
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00008,stopped_car,mixed,sim-001eea12-stopped-car-00008,sim-001eea12-stopped-car-00008|sim-001eea12-left-traffic-00008,True,788.4756346632224,True,False,95.44999999999672,110.64999999999586,15.199999999999136,True,False,True,5.749999999999988,True,True,0.608142003793898,1.1999999999999549
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00009,pedestrian,pedestrian,sim-001eea12-pedestrian-00009,sim-001eea12-pedestrian-00009,False,862.7082670619541,True,False,108.59999999999597,,,False,False,False,0.0,False,False,3.2415703046548354,5.560132398731639
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00010,slow_car,mixed,sim-001eea12-slow-car-00010,sim-001eea12-slow-car-00010|sim-001eea12-left-traffic-00010,True,936.1196745610206,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00011,truck,truck,sim-001eea12-truck-00011,sim-001eea12-truck-00011,False,1017.2430646997694,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00012,slow_car,slow_car,sim-001eea12-slow-car-00012,sim-001eea12-slow-car-00012,False,1119.6446232985802,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00014,truck,truck,sim-001eea12-truck-00014,sim-001eea12-truck-00014,False,1293.8033900127525,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00015,pedestrian,pedestrian,sim-001eea12-pedestrian-00015,sim-001eea12-pedestrian-00015,False,1367.4594547599797,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00017,slow_car,slow_car,sim-001eea12-slow-car-00017,sim-001eea12-slow-car-00017,False,1559.1523335335316,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00018,stopped_car,stopped_car,sim-001eea12-stopped-car-00018,sim-001eea12-stopped-car-00018,False,1664.6503783540948,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026002,0532c34066c81ae2,seed-2026002-scenario-00019,truck,truck,sim-001eea12-truck-00019,sim-001eea12-truck-00019,False,1755.6194316594708,False,False,,,,False,False,False,0.0,False,False,,
