run_id,profile_id,completion_reason,valid_for_analysis,target_duration_s,actual_duration_s,warmup_duration_s,packet_loss_percent,delay_ms,disconnect_at_s,disconnect_duration_s,duplicate_percent,out_of_order_percent,missing_vehicle_percent,invalid_vehicle_percent,missing_actors_percent,received_messages,transport_published_messages,applied_snapshots,rejected_contract,rejected_malformed_json,rejected_invalid,rejected_duplicate,rejected_out_of_order,stale_frame_percentage,mean_latency_ms,p95_latency_ms,mean_state_age_ms,p95_state_age_ms,mean_frame_time_ms,p95_frame_time_ms,mean_fps,recovery_elapsed_s,recovery_time_ms,maximum_recovery_jump_m,warning_count,error_count,snapshot_rows,frame_rows,source_rate_hz,source_fault_seed,source_packet_loss_percent,source_delay_ms,source_disconnect_at_s,source_disconnect_duration_s,source_duplicate_percent,source_out_of_order_percent,source_missing_vehicle_percent,source_invalid_vehicle_percent,source_missing_actors_percent,source_generated_messages,source_intentionally_dropped_messages,source_duplicate_messages_sent,source_out_of_order_messages_scheduled,source_malformed_messages_sent,valid_snapshot_count,partial_snapshot_count,mean_truth_speed_mps,presentation_delay_ms,expected_presentation_lag_distance_m,expected_injected_delay_distance_m,mean_position_error_m,p95_position_error_m,maximum_position_error_m,matched_position_frames,achieved_injected_loss_percent,matched_baseline_mean_position_error_m,baseline_adjusted_mean_position_error_m,position_error_residual_to_buffer_plus_delay_m
disconnect1_r03,disconnect1,measurement_window_complete,True,300,300.002052,30,0,0,120,1.0,0,0,0,0,0,9032,8970,8970,0,0,0,0,0,0.012528,0.797471,1.073015,19.613387,32.936096,0.835178,0.919074,1197.349661,121.001289,1.289368,14.372053,0,0,8970,359206,30.0,903,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,9000,30,0,0,0,8970,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.263571231006568,2.250576721541214,14.379664993382503,359206,0.3333333333333333,2.25367764206252,0.009893588944047682,0.03957123100656723
disconnect2_r01,disconnect2,measurement_window_complete,True,300,300.004108,30,0,0,120,2.0,0,0,0,0,0,9006,8939,8939,0,0,0,0,0,0.387861,0.921845,1.482391,25.015663,32.993078,0.794256,1.694834,1259.039967,122.000614,0.614166,28.248425,0,0,8939,377713,30.0,901,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,9000,60,0,0,0,8939,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.3350857506113663,2.2595181909061286,28.259262762306378,377713,0.6666666666666666,2.2505231755400983,0.08456257507126796,0.11108575061136561
disconnect2_r02,disconnect2,measurement_window_complete,True,300,300.006775,30,0,0,120,2.0,0,0,0,0,0,9001,8940,8940,0,0,0,0,0,0.407213,1.943925,2.223969,25.732184,33.205986,0.896961,1.848078,1114.875355,121.994827,0.0,28.250128,0,0,8940,334469,30.0,902,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,9000,60,0,0,0,8940,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.34212779738348,2.267855407920368,28.256020199359092,334469,0.6666666666666666,2.252443382479196,0.08968441490428436,0.11812779738347956
disconnect2_r03,disconnect2,measurement_window_complete,True,300,300.001892,30,0,0,120,2.0,0,0,0,0,0,9005,8941,8941,0,0,0,0,0,0.396127,1.022843,1.367807,25.255997,33.141851,0.856808,1.797251,1167.122462,122.000763,0.762939,28.264854,0,0,8941,350140,30.0,903,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,9000,60,0,0,0,8941,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.338424230518755,2.2623476674940735,28.275850528545256,350140,0.6666666666666666,2.25367764206252,0.08474658845623484,0.11442423051875439
disconnect5_r01,disconnect5,measurement_window_complete,True,300,300.023132,30,0,0,120,5.0,0,0,0,0,0,8924,8850,8850,0,0,0,0,0,1.477575,1.843968,2.076995,64.03587,33.325911,0.792696,1.671584,1261.517938,124.999695,0.0,69.880653,0,0,8850,378458,30.0,901,0.0,0.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,9000,150,0,0,0,8850,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.852455999059543,2.268595163670565,69.9063980174452,378458,1.6666666666666667,2.2505231755400983,0.6019328235194448,0.6284559990595424
disconnect5_r02,disconnect5,measurement_window_complete,True,300,300.002373,30,0,0,120,5.0,0,0,0,0,0,8921,8850,8850,0,0,0,0,0,1.430064,1.450266,1.4691,62.301808,33.335924,0.760811,1.610417,1314.386445,125.000282,0.282288,69.726189,0,0,8850,394318,30.0,902,0.0,0.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,9000,150,0,0,0,8850,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.828850806787754,2.2595493509440954,69.73491234671091,394318,1.6666666666666667,2.252443382479196,0.5764074243085582,0.6048508067877534
disconnect5_r03,disconnect5,measurement_window_complete,True,300,300.001476,30,0,0,120,5.0,0,0,0,0,0,8916,8850,8850,0,0,0,0,0,1.439985,1.336567,1.072061,62.382891,33.406258,0.802969,1.683957,1245.378381,125.002102,2.101898,69.945091,0,0,8850,373615,30.0,903,0.0,0.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,9000,150,0,0,0,8850,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.833618235585891,2.258670118167144,69.95377354505636,373615,1.6666666666666667,2.25367764206252,0.579940593523371,0.6096182355858906
duplicate_r01,duplicate,measurement_window_complete,True,60,60.001415,30,0,0,-1,0.0,5,0,0,0,0,1907,1892,1800,0,0,0,92,0,0.0,0.778561,1.077175,17.701767,32.695413,0.781556,0.910665,1279.499567,,,,92,0,1800,76771,30.0,901,0.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,1800,0,92,0,0,1800,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2448322822092757,2.2502909716865185,2.6681124575558153,76771,0.0,2.2505231755400983,-0.005690893330822622,0.02083228220927502
invalidvehicle_r01,invalidvehicle,measurement_window_complete,True,60,60.001854,30,0,0,-1,0.0,0,0,0,5,0,1812,1801,1801,0,0,0,0,0,0.0,2.29421,3.72982,18.185627,32.98372,1.212973,5.914169,824.420393,,,,0,0,1801,49470,30.0,901,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.0,0.0,1800,0,0,0,0,1709,92,13.900000000000004,160.0,2.2240000000000006,0.0,2.2633415963902657,2.348655471287467,2.8602137889467616,49470,0.0,2.2505231755400983,0.012818420850167378,0.03934159639026502
loss05_r01,loss05,measurement_window_complete,True,300,300.007313,30,5,0,-1,0.0,0,0,0,0,0,8633,8573,8573,0,0,0,0,0,0.000322,2.965557,1.212549,19.646066,34.938288,0.96515,1.054082,1036.108123,282.811085,3.112793,8.763567,0,0,8573,310839,30.0,901,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,428,0,0,0,8573,0,13.900000000000004,160.0,2.2240000000000006,0.0,2.2485372596981072,2.254594626645241,17.12790545113897,310839,4.7555555555555555,2.2505231755400983,-0.001985915841991037,0.024537259698106606
